epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.97,1.08725,2.35724,1.54997,0.00552,1,0.25029,0.08355,1.4956,3.1095,2.40192,0.000540231,0.000540231,0.000540231
2,32.1013,1.09085,1.73956,1.51571,0.00588,0.90909,0.07205,0.02915,2.01229,3.88661,2.85075,0.0010742,0.0010742,0.0010742
3,45.3161,1.13416,1.58252,1.50809,0.23019,0.40909,0.17288,0.06261,1.75424,4.12005,3.08799,0.00158616,0.00158616,0.00158616
4,58.5754,1.05323,1.4514,1.44084,0.08968,0.22727,0.05018,0.01417,2.44737,9.10748,3.76329,0.00156798,0.00156798,0.00156798
5,72.0488,1.11337,1.41462,1.48569,0.13281,0.25,0.08079,0.02678,2.72277,6.74007,3.72701,0.00153497,0.00153497,0.00153497
6,85.1228,1.07446,1.30999,1.46815,0.5358,0.45455,0.43191,0.1661,1.63204,3.65078,2.53658,0.00150197,0.00150197,0.00150197
7,98.754,1.0444,1.25439,1.43808,0.36269,0.5,0.39039,0.18158,1.469,2.65259,2.48453,0.00146896,0.00146896,0.00146896
8,112.404,0.99894,1.19286,1.39484,0.58715,0.70455,0.63866,0.28765,1.57068,2.03855,2.84057,0.00143595,0.00143595,0.00143595
9,125.902,1.02434,1.11047,1.42035,0.61239,0.72727,0.59842,0.28117,1.58565,1.9683,2.53225,0.00140295,0.00140295,0.00140295
10,138.069,0.99227,1.05277,1.38016,0.53707,0.63286,0.5424,0.2073,1.77266,2.27613,2.66912,0.00136994,0.00136994,0.00136994
11,150.817,0.9661,0.99456,1.36654,0.66138,0.61364,0.63821,0.2812,1.58065,2.02312,2.49434,0.00133693,0.00133693,0.00133693
12,164.029,0.97048,1.02027,1.36468,0.70222,0.68182,0.71325,0.28837,1.66785,2.52697,2.63247,0.00130393,0.00130393,0.00130393
13,177.569,0.9305,0.93208,1.33539,0.68218,0.68182,0.68505,0.35318,1.49492,1.94443,2.4235,0.00127092,0.00127092,0.00127092
14,191.278,0.95487,0.96361,1.37178,0.62095,0.78197,0.75831,0.38384,1.59223,2.14061,2.51622,0.00123791,0.00123791,0.00123791
15,204.8,0.90444,0.84006,1.30602,0.60702,0.77273,0.65299,0.36949,1.52397,2.26414,2.3791,0.00120491,0.00120491,0.00120491
16,217.823,0.87871,0.82281,1.29087,0.4607,0.54364,0.43437,0.23118,1.69589,2.16649,2.41606,0.0011719,0.0011719,0.0011719
17,230.978,0.91335,0.85643,1.328,0.70755,0.77273,0.76602,0.43942,1.3969,1.71445,2.27743,0.00113889,0.00113889,0.00113889
18,244.401,0.86829,0.78804,1.28493,0.58013,0.81818,0.62927,0.32995,1.56611,1.97772,2.55174,0.00110589,0.00110589,0.00110589
19,257.157,0.87417,0.79229,1.31404,0.61011,0.77273,0.71826,0.39176,1.61352,1.86727,2.38826,0.00107288,0.00107288,0.00107288
20,268.933,0.87716,0.77371,1.29753,0.66938,0.73633,0.69566,0.40294,1.58068,1.75118,2.44062,0.00103987,0.00103987,0.00103987
21,282.118,0.89388,0.90342,1.29784,0.77258,0.92659,0.87321,0.55913,1.29039,1.4535,2.20677,0.00100687,0.00100687,0.00100687
22,295.279,0.8337,0.71945,1.26785,0.7633,0.80631,0.77137,0.43727,1.51146,1.56832,2.38373,0.000973861,0.000973861,0.000973861
23,309.008,0.8497,0.73091,1.27604,0.69892,0.73875,0.81731,0.51715,1.32341,2.24177,2.01838,0.000940855,0.000940855,0.000940855
24,322.461,0.83801,0.74556,1.26449,0.76106,0.72727,0.81782,0.51549,1.42185,1.55331,2.29586,0.000907848,0.000907848,0.000907848
25,335.657,0.81261,0.70175,1.2614,0.84095,0.84117,0.91671,0.54546,1.38935,1.30079,2.2745,0.000874842,0.000874842,0.000874842
26,348.961,0.80962,0.68494,1.25357,0.72733,0.84091,0.7757,0.47308,1.34939,1.49171,2.06465,0.000841835,0.000841835,0.000841835
27,361.516,0.81095,0.69533,1.24534,0.75505,0.91076,0.82524,0.52611,1.23896,1.40712,1.99644,0.000808828,0.000808828,0.000808828
28,373.514,0.79485,0.65139,1.23501,0.7183,0.81818,0.84307,0.55074,1.31421,1.42024,2.06094,0.000775822,0.000775822,0.000775822
29,386.59,0.77626,0.63521,1.22816,0.71678,0.93182,0.85693,0.58605,1.23969,1.41113,2.00044,0.000742815,0.000742815,0.000742815
30,400.452,0.75306,0.6153,1.21533,0.7577,0.84091,0.83827,0.56729,1.10404,1.69497,1.80595,0.000709809,0.000709809,0.000709809
31,413.109,0.74654,0.58954,1.20105,0.75726,0.86364,0.86073,0.60975,1.06361,1.39575,1.8225,0.000676802,0.000676802,0.000676802
32,426.809,0.78555,0.60882,1.23879,0.77795,0.81818,0.82514,0.56534,1.15405,1.3533,1.88071,0.000643795,0.000643795,0.000643795
33,439.917,0.75582,0.60912,1.21995,0.73916,0.93182,0.84635,0.61851,1.0249,1.43167,1.73681,0.000610789,0.000610789,0.000610789
34,453.497,0.73793,0.57458,1.19996,0.74799,0.95455,0.81245,0.48202,1.29894,1.44314,2.17059,0.000577782,0.000577782,0.000577782
35,466.689,0.69922,0.55865,1.18231,0.81653,0.88636,0.89398,0.64139,1.01985,1.32784,1.77153,0.000544776,0.000544776,0.000544776
36,480.331,0.75327,0.65239,1.21739,0.7746,0.90909,0.86359,0.58248,1.14321,1.2832,1.86062,0.000511769,0.000511769,0.000511769
37,492.832,0.69817,0.55832,1.1816,0.74001,0.97039,0.8776,0.61689,1.15349,1.31161,1.85526,0.000478762,0.000478762,0.000478762
38,504.944,0.69405,0.52901,1.16632,0.73362,0.93897,0.8554,0.59571,1.18478,1.07551,1.924,0.000445756,0.000445756,0.000445756
39,518.074,0.70129,0.52172,1.15532,0.7865,0.93182,0.88888,0.64219,1.12461,1.18168,1.93276,0.000412749,0.000412749,0.000412749
40,531.461,0.6523,0.52135,1.14825,0.73625,0.93182,0.88413,0.66476,0.98224,1.17431,1.80844,0.000379743,0.000379743,0.000379743
41,546.791,0.53534,0.42253,1.12585,0.73973,0.90909,0.82104,0.57782,1.08206,1.22544,1.85626,0.000346736,0.000346736,0.000346736
42,559.795,0.53064,0.36994,1.09783,0.80727,0.93182,0.85625,0.60906,1.10801,1.25375,1.88925,0.000313729,0.000313729,0.000313729
43,572.709,0.48439,0.35128,1.06076,0.74865,0.94781,0.86248,0.66087,0.94698,1.18668,1.71504,0.000280723,0.000280723,0.000280723
44,585.448,0.48653,0.3767,1.07984,0.79823,0.89924,0.8578,0.57821,1.04333,1.27147,1.79833,0.000247716,0.000247716,0.000247716
45,598.149,0.48943,0.36227,1.08605,0.77437,0.95455,0.87458,0.67771,0.93271,1.25169,1.65441,0.00021471,0.00021471,0.00021471
46,610.392,0.4605,0.31108,1.04287,0.83112,0.89492,0.86768,0.66785,0.96107,1.24524,1.72394,0.000181703,0.000181703,0.000181703
47,622.061,0.47408,0.31321,1.07101,0.81965,0.95455,0.88587,0.69685,0.84863,1.17922,1.54868,0.000148696,0.000148696,0.000148696
